,Total Rows,Missing Count,Missing Percentage
home_fielding_catcherstolenbasesallowed,3034,47,1.5491100856954514
home_fielding_catchercaughtstealing,3034,47,1.5491100856954514
away_batting_gamewinningrbis,3034,47,1.5491100856954514
away_batting_triples,3034,47,1.5491100856954514
away_batting_runnersleftonbase,3034,47,1.5491100856954514
away_batting_grandslamhomeruns,3034,47,1.5491100856954514
away_batting_homeruns,3034,47,1.5491100856954514
away_batting_atbats,3034,47,1.5491100856954514
away_batting_sacflies,3034,47,1.5491100856954514
away_batting_gidps,3034,47,1.5491100856954514
away_batting_runs,3034,47,1.5491100856954514
away_batting_catcherinterference,3034,47,1.5491100856954514
away_batting_walks,3034,47,1.5491100856954514
away_batting_stolenbases,3034,47,1.5491100856954514
away_batting_hits,3034,47,1.5491100856954514
away_batting_sachits,3034,47,1.5491100856954514
away_batting_rbis,3034,47,1.5491100856954514
away_batting_strikeouts,3034,47,1.5491100856954514
vegas_spread,3034,22,0.7251153592617008
vegas_total,3034,22,0.7251153592617008
